label,gloss,current_samples,target_samples,samples_to_generate
199,không thể,14,30,16
196,hiểu,14,30,16
92,luôn,14,30,16
87,trễ,14,30,16
85,xe hơi,14,30,16
81,bệnh viện,14,30,16
143,sữa,14,30,16
145,trà,14,30,16
113,kết quả,14,30,16
159,tiếp tục,14,30,16
162,tươi,14,30,16
164,cái nào,14,30,16
41,chuẩn bị,14,30,16
112,bác sĩ,14,30,16
168,cũ,14,30,16
189,không thích,14,30,16
187,tuyệt vời,14,30,16
175,xác nhận,14,30,16
186,đầu bếp,14,30,16
28,buổi trưa,14,30,16
185,app,14,30,16
181,thật,14,30,16
166,tặng,15,30,15
97,nhỏ,15,30,15
191,trông,15,30,15
95,nhận,15,30,15
132,cơm,15,30,15
67,trước khi,15,30,15
155,ngồi,15,30,15
174,nộp,15,30,15
154,thịt,15,30,15
144,hoa quả,16,30,14
167,online,16,30,14
39,vẫn,16,30,14
32,khó,16,30,14
163,dùng,16,30,14
88,vé,16,30,14
129,ra ngoài,16,30,14
46,thông tin,17,30,13
65,khởi động,17,30,13
56,dừng,17,30,13
135,ngay,17,30,13
142,cùng nhau,17,30,13
180,cám ơn,17,30,13
124,thủ tục,18,30,12
136,chúc,18,30,12
151,dọn dẹp,18,30,12
158,thể thao,18,30,12
3,ra,18,30,12
13,cẩn thận,18,30,12
29,mệt,18,30,12
10,tương lai,18,30,12
25,nhất,18,30,12
45,để,18,30,12
100,bao lâu,18,30,12
122,thử,19,30,11
90,nơi,19,30,11
179,điều,19,30,11
80,về,19,30,11
96,chọn,20,30,10
37,chậm,20,30,10
156,bài tập,20,30,10
123,bảo hiểm,20,30,10
68,vì,20,30,10
30,nóng,21,30,9
58,phía trước,21,30,9
115,xin,21,30,9
183,phụ nữ,21,30,9
188,nghĩ,21,30,9
114,khỏe,21,30,9
48,bắt đầu,21,30,9
184,máy tính,22,30,8
177,lớp,22,30,8
18,mặc,22,30,8
176,gửi,22,30,8
17,áo,22,30,8
171,trẻ em,22,30,8
192,chúng ta,22,30,8
194,chúng tôi,22,30,8
23,nhưng,22,30,8
157,mẹ,22,30,8
137,ngon,22,30,8
120,ai,22,30,8
128,đặt,22,30,8
76,gọi,22,30,8
50,nghe,22,30,8
69,nếu,22,30,8
153,rau,22,30,8
72,gặp,22,30,8
109,cảm thấy,22,30,8
190,tại sao,23,30,7
84,sai,23,30,7
130,chưa,23,30,7
152,phim,23,30,7
38,quá khứ,24,30,6
44,ở đây,24,30,6
121,được không,24,30,6
118,ngủ,24,30,6
7,lớn,24,30,6
173,hồ sơ,24,30,6
79,vào,26,30,4
148,đọc,26,30,4
53,đúng,26,30,4
31,nhìn,27,30,3
66,sớm,27,30,3
57,đông đúc,28,30,2
101,khi nào,28,30,2
42,giảm,28,30,2
104,khám bệnh,29,30,1
105,đau,29,30,1
